year,period,country_count,android_led_countries,ios_led_countries,tied_countries,avg_android_share,avg_ios_share,avg_other_share,avg_ios_minus_android_pp,top_ios_countries,top_android_countries,is_partial_year,source,method
2009,2009,238,0,227,11,0.38,30.79,61.52,30.41,Falkland Islands (Malvinas) 94.64 | Luxembourg 91.26 | Liechtenstein 87.52 | Korea Republic of 85.45 | Andorra 84.8 | Turks and Caicos Islands 84.21 | Virgin Island U.S. 83.13 | New Caledonia 83.03 | Saint Pierre and Miquelon 81.93 | French Polynesia 80.53,Guyana 13.12 | United States 5.58 | Austria 3.54 | United Kingdom 2.18 | Spain 2.16 | France 2.13 | Burundi 2.12 | Netherlands 2.01 | Greenland 1.82 | Dominican Republic 1.8,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2010,2010,238,2,226,10,3.67,27.66,63.28,23.99,Saint Pierre and Miquelon 95.32 | Falkland Islands (Malvinas) 90.55 | Liechtenstein 87.83 | Luxembourg 86.58 | Canada 84.96 | Mayotte 84.74 | Guernsey 82.47 | Virgin Island U.S. 81.64 | French Polynesia 80.09 | Gibraltar 79.52,Korea Republic of 38.58 | Northern Mariana Islands 31.73 | United States 16.97 | Austria 16.63 | Taiwan 16.35 | Montserrat 14.64 | Denmark 14.55 | Faroe Islands 13.82 | Macao 12.33 | Sweden 11.95,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2011,2011,238,46,182,10,13.85,25.8,56.11,11.96,Saint Pierre and Miquelon 83.23 | Luxembourg 79.28 | Liechtenstein 77.15 | Niue 76.74 | Cuba 76.64 | Switzerland 73.25 | Gibraltar 73.13 | Australia 72.53 | Wallis and Futuna 70.89 | Isle of Man 70.28,Korea Republic of 91.23 | Northern Mariana Islands 65.56 | Mayotte 55.88 | French Guiana 47.84 | Taiwan 46.25 | Puerto Rico 44.69 | Estonia 43.41 | Myanmar 42.29 | Slovenia 41.65 | Austria 40.28,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2012,2012,238,151,81,6,26.98,24.77,44.71,-2.22,Australia 70.57 | Luxembourg 69.68 | Wallis and Futuna 69.16 | Gibraltar 67.5 | Liechtenstein 67.3 | Isle of Man 67.15 | Switzerland 66.84 | Saint Pierre and Miquelon 65.16 | Guernsey 65.03 | Denmark 63.67,Korea Republic of 88.77 | Myanmar 75.54 | Northern Mariana Islands 74.3 | Taiwan 68.94 | Estonia 60.88 | Slovenia 60.15 | Spain 58.21 | Slovakia 57.39 | Puerto Rico 57.37 | Argentina 56.74,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2013,2013,238,188,47,3,39.71,23.42,34.87,-16.29,Saint Pierre and Miquelon 70.6 | Jersey 68.06 | Denmark 66.67 | Australia 66.57 | Isle of Man 66.12 | Liechtenstein 65.31 | Cayman Islands 64.04 | Switzerland 63.03 | Gibraltar 62.54 | Sweden 62.16,Korea Republic of 90.67 | Myanmar 90.62 | Taiwan 78.1 | Northern Mariana Islands 75.75 | Panama 73.85 | Mongolia 72.32 | Kiribati 72.05 | Martinique 71.06 | Slovenia 70.19 | Spain 69.08,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2014,2014,238,210,26,2,54.04,21.49,22.86,-32.55,Monaco 68.09 | Jersey 66.86 | Saint Pierre and Miquelon 64.55 | Japan 63.97 | Faroe Islands 63.89 | Guernsey 63.67 | Denmark 63.02 | Isle of Man 61.84 | Australia 59.78 | Canada 59.35,Myanmar 91.69 | Korea Republic of 88.73 | Taiwan 83.53 | Panama 82.17 | Poland 81.92 | Martinique 81.53 | French Guiana 79.5 | Malaysia 78.7 | Mayotte 78.67 | Bosnia and Herzegovina 77.19,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2015,2015,238,215,23,0,63.99,19.64,15.98,-44.35,Monaco 67.89 | Japan 65.97 | Faroe Islands 62.73 | Guernsey 61.9 | Denmark 60.06 | Jersey 59.64 | Switzerland 57.75 | Australia 57.66 | Isle of Man 56.74 | Gibraltar 54.54,Myanmar 92.37 | Poland 87.14 | Panama 85.71 | Iran Islamic Republic of 85.47 | Bolivia 84.41 | Palestinian Territory 83.06 | Bosnia and Herzegovina 82.5 | Montserrat 82.31 | Honduras 81.46 | Bulgaria 81.25,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2016,2016,238,216,22,0,68.8,19.19,11.69,-49.6,Japan 70.3 | Monaco 69.78 | Guernsey 64.04 | Faroe Islands 63.92 | Switzerland 59.96 | Jersey 58.87 | Macao 58.5 | Liechtenstein 58.35 | Denmark 58.06 | Australia 57.73,Oman 94.25 | Myanmar 91.56 | Poland 90.15 | Wallis and Futuna 89.23 | Bolivia 88.74 | Cuba 87.56 | Iran Islamic Republic of 86.88 | Algeria 86.75 | Palestinian Territory 86.69 | Panama 86.03,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2017,2017,238,216,22,0,70.87,19.25,9.18,-51.62,Antarctica 68.24 | Japan 67.37 | Monaco 66.27 | Jersey 63.4 | Guernsey 63.14 | Faroe Islands 61.66 | Macao 60.36 | Liechtenstein 57.56 | Isle of Man 57.52 | Switzerland 56.91,Poland 93.98 | Bolivia 92.83 | Algeria 92.46 | Yemen 91.98 | Wallis and Futuna 91.78 | Kiribati 91.59 | Paraguay 91.5 | Oman 91.47 | Comoros 91.3 | Syrian Arab Republic 90.74,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2018,2018,238,215,23,0,73.34,20.3,5.41,-53.04,Antarctica 81.27 | Japan 69.09 | Guernsey 67.94 | Monaco 66.48 | Macao 66.09 | Jersey 65.45 | Faroe Islands 63.1 | Switzerland 59.25 | Isle of Man 59.22 | Liechtenstein 58.4,Syrian Arab Republic 96.84 | Yemen 95.81 | Comoros 95.49 | Poland 95.43 | Timor-Leste 95.17 | Algeria 95.14 | Afghanistan 93.61 | Paraguay 93.47 | Bolivia 93.43 | Kiribati 93.43,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2019,2019,238,221,17,0,76.69,20.4,2.65,-56.29,Antarctica 87.77 | Japan 69.57 | Macao 67.02 | Guernsey 65.19 | Jersey 63.82 | Monaco 61.67 | Faroe Islands 60.16 | Isle of Man 56.48 | Australia 55.79 | United States 55.24,Syrian Arab Republic 96.62 | Timor-Leste 96.42 | Algeria 96.21 | Poland 95.69 | Bangladesh 95.61 | Paraguay 95.33 | Yemen 95.29 | Eritrea 94.64 | Kiribati 94.54 | Bolivia 94.47,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2020,2020,238,218,20,0,77.33,21.21,1.25,-56.11,Jersey 65.99 | Monaco 64.36 | Guernsey 64.3 | Japan 63.54 | Antarctica 63.28 | Macao 63.27 | Faroe Islands 59.59 | United States 59.51 | Isle of Man 56.54 | Norway 55.52,Tuvalu 97.63 | Yemen 96.21 | Syrian Arab Republic 96.01 | Algeria 95.8 | Bangladesh 95.75 | India 95.24 | Timor-Leste 94.97 | Nauru 94.73 | Lesotho 94.67 | Pakistan 94.63,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2021,2021,238,210,28,0,74.64,23.82,1.25,-50.82,Antarctica 89.77 | Jersey 69.28 | Japan 66.57 | Faroe Islands 65.13 | Macao 64.45 | Monaco 64.27 | Bermuda 64.01 | Guernsey 63.89 | Denmark 62.66 | Norway 61.09,Kiribati 96.7 | Tuvalu 96.59 | Syrian Arab Republic 95.92 | India 95.84 | Algeria 95.77 | Bangladesh 95.67 | Yemen 95.58 | Lesotho 95.41 | Timor-Leste 94.88 | Papua New Guinea 94.87,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2022,2022,238,203,35,0,71.2,27.21,1.06,-43.99,Antarctica 99.99 | Korea Democratic People's Republic of 98.29 | Faroe Islands 91.96 | Bermuda 90.7 | American Samoa 85.34 | Niue 78.99 | Monaco 69.46 | Jersey 67.29 | Guernsey 67.17 | Saint Pierre and Miquelon 67.13,Kiribati 96 | Syrian Arab Republic 95.87 | Bangladesh 95.73 | Yemen 95.47 | Papua New Guinea 95.38 | India 95.26 | Lesotho 95.19 | Tuvalu 95.13 | Nauru 94.27 | Bolivia 94.17,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2023,2023,238,204,34,0,70.01,28.22,1.17,-41.79,Antarctica 98.61 | Bermuda 97.35 | American Samoa 92.13 | Faroe Islands 92.09 | Korea Democratic People's Republic of 88.77 | Niue 87.55 | Saint Pierre and Miquelon 74.21 | Andorra 69.34 | Japan 68.67 | Jersey 67.96,Kiribati 96.09 | Bangladesh 95.57 | Papua New Guinea 95.41 | India 95.14 | Lesotho 95.04 | Solomon Islands 94.05 | Eritrea 94.03 | Pakistan 93.93 | Swaziland 93.35 | Syrian Arab Republic 93.27,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2024,2024,238,205,33,0,70.98,28.09,0.82,-42.88,Bermuda 99.62 | American Samoa 97.58 | Niue 97.32 | Saint Pierre and Miquelon 91.09 | Bahamas 90.57 | Antarctica 85.96 | Faroe Islands 82.2 | Lithuania 74.49 | Anguilla 68.28 | Belize 67.25,Kiribati 96.77 | Sudan 96.36 | Syrian Arab Republic 96.2 | Papua New Guinea 95.58 | India 95.27 | Bangladesh 95.21 | Chad 95.14 | Pakistan 95.02 | Lesotho 94.81 | Ethiopia 94.72,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2025,2025,238,201,37,0,70.66,28.16,0.87,-42.5,Bermuda 99.73 | Niue 98.06 | American Samoa 97.78 | Bahamas 92.78 | Antarctica 90.36 | Faroe Islands 83.47 | Saint Pierre and Miquelon 78.81 | Belize 68.36 | Andorra 68.09 | Monaco 66.73,Sudan 97.16 | British Indian Ocean Territory 96.26 | Yemen 95.95 | Syrian Arab Republic 95.85 | India 95.18 | Kiribati 94.88 | Ethiopia 94.74 | Bangladesh 94.63 | Cuba 94.56 | Chad 94.39,false,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
2026,2026 YTD,238,196,42,0,67.56,31.74,0.44,-35.82,Bermuda 99.71 | American Samoa 97.66 | Bahamas 94 | Antarctica 87.88 | Faroe Islands 85.81 | Andorra 72.89 | Anguilla 70.48 | Saint Martin Collectivity of 69 | Saint Pierre and Miquelon 67.83 | Belize 67.32,Ethiopia 97.69 | Sudan 97.31 | Niger 96.94 | Yemen 96.31 | Syrian Arab Republic 95.92 | Equatorial Guinea 95.5 | Cuba 95.48 | Chad 94.79 | Malawi 94.51 | British Indian Ocean Territory 94.37,true,StatCounter GlobalStats mobile OS web usage share,country-level annual rows summarized without population weighting
