month,community_rank,meme,query,kym_vote_share,source_url,video_search_query,notes
2025-01,1,Gi-Hun I Played These Games Before,I played these games before,32.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Squid Game I played these games before meme,Top candidate for hero video
2025-01,2,Eye of Rah,Eye of Rah,10.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Eye of Rah meme,
2025-01,3,Elon Musk Salute,Elon Musk salute,9.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Elon Musk salute meme,
2025-01,4,TikTok US Ban,TikTok US Ban,6.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,TikTok ban memes January 2025,
2025-02,1,Cave Diver Memes,Cave diver meme,34.5,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Cave diver meme 2025,Top candidate for hero video
2025-02,2,Say Drake,Say Drake,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Kendrick Lamar Say Drake meme,
2025-02,2,Milton's Dancing Rat,Milton's Dancing Rat,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Milton dancing rat trend,
2025-02,4,Artists Who Can Sing / Artists Who Can't Sing,Artists who can sing artists who can't sing,7.5,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Artists who can sing meme,
2025-03,1,Italian Brainrot,Italian Brainrot,19.5,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,Italian Brainrot meme,Top candidate for hero video
2025-03,2,Ashton Hall's Morning Routine,Ashton Hall morning routine,15.5,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,Ashton Hall morning routine meme,
2025-03,3,J.D. Vance Photoshops,JD Vance photoshops,13.0,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,JD Vance photoshop meme,
2025-03,4,March 2025 Meme Drought,March 2025 meme drought,,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,March 2025 meme drought,
2025-04,1,Chicken Jockey,Chicken Jockey,38.3,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,Chicken Jockey Minecraft movie meme,Top candidate for hero video
2025-04,2,J.D. Vance Killed Pope Francis Theories,JD Vance Pope Francis,10.1,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,JD Vance killed Pope Francis meme,
2025-04,3,Tung Tung Tung Sahur,Tung Tung Tung Sahur,9.7,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,Tung Tung Tung Sahur meme,
2025-04,4,R.E.P.O. I Love,REPO I Love,,https://knowyourmeme.com/editorials/see-the-winner-of-april-2025s-meme-of-the-month,REPO I Love meme,
2025-05,1,100 Men vs 1 Gorilla,100 men vs 1 gorilla,20.0,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,100 men vs 1 gorilla meme,Top candidate for hero video
2025-05,2,Rhymes With Grug,Rhymes With Grug,18.5,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,Rhymes with Grug meme,
2025-05,3,Aerial Tramway Emoji,Aerial Tramway Emoji,12.0,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,Aerial Tramway Emoji meme,
2025-05,4,F Students Are Inventors,F students are inventors,,https://knowyourmeme.com/editorials/see-the-winner-of-may-2025s-meme-of-the-month,F students are inventors meme,
2025-06,1,Job Application Forms,Job Application Forms meme,29.3,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,Job application form memes,Top candidate for hero video
2025-06,2,SYBAU Guy,SYBAU Guy,14.4,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,SYBAU Guy meme,
2025-06,3,Asgore Running Over Dess,Asgore Running Over Dess,13.7,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,Asgore Running Over Dess meme,
2025-06,4,A Barbershop Haircut That Costs a Quarter,Barbershop Haircut Costs a Quarter,5.04,https://knowyourmeme.com/editorials/see-the-winner-of-june-2025s-meme-of-the-month,Barbershop haircut costs a quarter meme,
2025-07,1,Astronomer CEO Coldplay Affair,Astronomer CEO Coldplay,22.0,https://knowyourmeme.com/editorials/see-the-winner-of-july-2025s-meme-of-the-month,Astronomer CEO Coldplay meme,Top candidate for hero video
2025-07,2,Nothing Beats a Jet2 Holiday,Nothing Beats a Jet2 Holiday,12.5,https://knowyourmeme.com/editorials/see-the-winner-of-july-2025s-meme-of-the-month,Nothing beats a Jet2 Holiday meme,
2025-07,3,SDIYBT,SDIYBT,11.0,https://knowyourmeme.com/editorials/see-the-winner-of-july-2025s-meme-of-the-month,SDIYBT meme,
2025-08,1,Clanker,Clanker meme,19.0,https://knowyourmeme.com/editorials/see-the-winner-of-august-2025s-meme-of-the-month,Clanker meme,Top candidate for hero video
2025-08,2,Adrian Eeffoc Brainrot,Adrian Eeffoc Brainrot,8.1,https://knowyourmeme.com/editorials/see-the-winner-of-august-2025s-meme-of-the-month,Adrian Eeffoc Brainrot meme,
2025-08,3,Lizard Lizard Lizard,Lizard Lizard Lizard,7.9,https://knowyourmeme.com/editorials/see-the-winner-of-august-2025s-meme-of-the-month,Lizard Lizard Lizard meme,
2025-09,1,6-7 Kid,6-7 Kid,18.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,6-7 Kid meme,Top candidate for hero video
2025-09,2,Tylenol Autism Announcement,Tylenol Autism Announcement,13.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,Tylenol Autism Announcement meme,
2025-09,3,W Speed,W Speed,9.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,W Speed meme,
2025-09,4,NicheTok,NicheTok,7.0,https://knowyourmeme.com/editorials/poll/see-the-winner-of-september-2025s-meme-of-the-month,NicheTok meme,
2025-10,1,IShowSpeed December 29th 2021 Stream,IShowSpeed December 29 2021 stream,15.5,https://knowyourmeme.com/editorials/see-the-winner-of-october-2025s-meme-of-the-month,IShowSpeed mom kind of homeless meme,Top candidate for hero video
2025-10,2,White Rabbit Pointing at a Clock,White Rabbit Pointing at a Clock,12.8,https://knowyourmeme.com/editorials/see-the-winner-of-october-2025s-meme-of-the-month,White Rabbit pointing at clock meme,
2025-10,3,Hasan Piker Dog Shock Collar,Hasan Piker dog shock collar,12.7,https://knowyourmeme.com/editorials/see-the-winner-of-october-2025s-meme-of-the-month,Hasan Piker dog shock collar meme,
2025-11,1,Kirkification / Charlie Kirk Face Swaps,Kirkification Charlie Kirk Face Swaps,19.0,https://knowyourmeme.com/editorials/see-the-winner-of-november-2025s-meme-of-the-month,Kirkification Charlie Kirk face swap meme,Top candidate for hero video
2025-11,2,Frieren Looking Up,Frieren Looking Up,16.7,https://knowyourmeme.com/editorials/see-the-winner-of-november-2025s-meme-of-the-month,Frieren Looking Up meme,
2025-11,3,Cassius Thundercock,Cassius Thundercock,9.8,https://knowyourmeme.com/editorials/see-the-winner-of-november-2025s-meme-of-the-month,Cassius Thundercock meme,
2025-12,1,Jon Hamm Dancing,Jon Hamm Dancing,13.0,https://knowyourmeme.com/editorials/see-the-winner-of-december-2025s-meme-of-the-month,Jon Hamm Dancing meme,Top candidate for hero video
2025-12,2,He Made a Statement So Trash Even His Gang Clowned Him,Statement so trash even his gang clowned him,10.0,https://knowyourmeme.com/editorials/see-the-winner-of-december-2025s-meme-of-the-month,He made a statement so trash even his gang clowned him meme,
2025-12,3,Jeffrey Epstein Glazing Edits,Jeffrey Epstein Glazing Edits,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-december-2025s-meme-of-the-month,Jeffrey Epstein Glazing Edits meme,
