year,rank,name,code,country,race,earnings_usd,source_url,player_page_title
2020,1,Queen,QUEEN,South Korea,Zerg,57723,https://liquipedia.net/starcraft/Winnings/2020,ZerO
2020,2,Light,LIGHT,South Korea,Terran,30178,https://liquipedia.net/starcraft/Winnings/2020,Light
2020,3,Flash,FLASH,South Korea,Terran,26447,https://liquipedia.net/starcraft/Winnings/2020,Flash
2020,4,soma,SOMA,South Korea,Zerg,23712,https://liquipedia.net/starcraft/Winnings/2020,Soma
2020,5,SnOw,SNOW,South Korea,Protoss,14357,https://liquipedia.net/starcraft/Winnings/2020,SnOw
2020,6,Best,BEST,South Korea,Protoss,12142,https://liquipedia.net/starcraft/Winnings/2020,Best
2020,7,Dewalt,DEWALT,Russia,Protoss,10312,https://liquipedia.net/starcraft/Winnings/2020,Dewalt
2020,8,Action,ACTION,South Korea,Zerg,9724,https://liquipedia.net/starcraft/Winnings/2020,Action
2020,9,Bisu,BISU,South Korea,Protoss,8188,https://liquipedia.net/starcraft/Winnings/2020,Bisu
2020,10,Soulkey,SOULKEY,South Korea,Zerg,7475,https://liquipedia.net/starcraft/Winnings/2020,Soulkey
2021,1,Mini,MINI,South Korea,Protoss,40169,https://liquipedia.net/starcraft/Winnings/2021,Mini
2021,2,Larva,LARVA,South Korea,Zerg,30689,https://liquipedia.net/starcraft/Winnings/2021,Larva (Player)
2021,3,Rush,RUSH,South Korea,Terran,20594,https://liquipedia.net/starcraft/Winnings/2021,Rush
2021,4,soma,SOMA,South Korea,Zerg,19172,https://liquipedia.net/starcraft/Winnings/2021,Soma
2021,5,Mihu,MIHU,China,Terran,18434,https://liquipedia.net/starcraft/Winnings/2021,Mihu
2021,6,Queen,QUEEN,South Korea,Zerg,16063,https://liquipedia.net/starcraft/Winnings/2021,ZerO
2021,7,Light,LIGHT,South Korea,Terran,15765,https://liquipedia.net/starcraft/Winnings/2021,Light
2021,8,herO,HERO,South Korea,Zerg,15434,https://liquipedia.net/starcraft/Winnings/2021,Hero
2021,9,CaiCai,CAICAI,China,Zerg,15318,https://liquipedia.net/starcraft/Winnings/2021,CaiCai
2021,10,SnOw,SNOW,South Korea,Protoss,12594,https://liquipedia.net/starcraft/Winnings/2021,SnOw
2022,1,Zhanhun,ZHANHUN,China,Protoss,41566,https://liquipedia.net/starcraft/Winnings/2022,Zhanhun
2022,2,Mihu,MIHU,China,Terran,39653,https://liquipedia.net/starcraft/Winnings/2022,Mihu
2022,3,Light,LIGHT,South Korea,Terran,32535,https://liquipedia.net/starcraft/Winnings/2022,Light
2022,4,RoyaL,ROYAL,South Korea,Terran,29114,https://liquipedia.net/starcraft/Winnings/2022,RoyaL
2022,5,Fengzi,FENGZI,China,Zerg,15796,https://liquipedia.net/starcraft/Winnings/2022,Fengzi
2022,6,XiaoShuai,XIAOSHUAI,China,Zerg,14281,https://liquipedia.net/starcraft/Winnings/2022,XiaoShuai
2022,7,SnOw,SNOW,South Korea,Protoss,13502,https://liquipedia.net/starcraft/Winnings/2022,SnOw
2022,8,Best,BEST,South Korea,Protoss,12972,https://liquipedia.net/starcraft/Winnings/2022,Best
2022,9,herO,HERO,South Korea,Zerg,12947,https://liquipedia.net/starcraft/Winnings/2022,Hero
2022,10,Rush,RUSH,South Korea,Terran,12512,https://liquipedia.net/starcraft/Winnings/2022,Rush
2023,1,RoyaL,ROYAL,South Korea,Terran,169462,https://liquipedia.net/starcraft/Winnings/2023,RoyaL
2023,2,Mini,MINI,South Korea,Protoss,166213,https://liquipedia.net/starcraft/Winnings/2023,Mini
2023,3,soma,SOMA,South Korea,Zerg,160839,https://liquipedia.net/starcraft/Winnings/2023,Soma
2023,4,Jaedong,JAEDONG,South Korea,Zerg,157004,https://liquipedia.net/starcraft/Winnings/2023,Jaedong
2023,5,Rush,RUSH,South Korea,Terran,143778,https://liquipedia.net/starcraft/Winnings/2023,Rush
2023,6,Soulkey,SOULKEY,South Korea,Zerg,143682,https://liquipedia.net/starcraft/Winnings/2023,Soulkey
2023,7,SnOw,SNOW,South Korea,Protoss,139110,https://liquipedia.net/starcraft/Winnings/2023,SnOw
2023,8,Best,BEST,South Korea,Protoss,137755,https://liquipedia.net/starcraft/Winnings/2023,Best
2023,9,Light,LIGHT,South Korea,Terran,136568,https://liquipedia.net/starcraft/Winnings/2023,Light
2023,10,Bisu,BISU,South Korea,Protoss,122940,https://liquipedia.net/starcraft/Winnings/2023,Bisu
2024,1,Mini,MINI,South Korea,Protoss,143457,https://liquipedia.net/starcraft/Winnings/2024,Mini
2024,2,Soulkey,SOULKEY,South Korea,Zerg,135828,https://liquipedia.net/starcraft/Winnings/2024,Soulkey
2024,3,Sharp,SHARP,South Korea,Terran,130730,https://liquipedia.net/starcraft/Winnings/2024,Sharp
2024,4,Rush,RUSH,South Korea,Terran,111165,https://liquipedia.net/starcraft/Winnings/2024,Rush
2024,5,Light,LIGHT,South Korea,Terran,94793,https://liquipedia.net/starcraft/Winnings/2024,Light
2024,6,Stork,STORK,South Korea,Protoss,92834,https://liquipedia.net/starcraft/Winnings/2024,Stork
2024,7,RoyaL,ROYAL,South Korea,Terran,89664,https://liquipedia.net/starcraft/Winnings/2024,RoyaL
2024,8,SnOw,SNOW,South Korea,Protoss,88098,https://liquipedia.net/starcraft/Winnings/2024,SnOw
2024,9,Queen,QUEEN,South Korea,Zerg,86244,https://liquipedia.net/starcraft/Winnings/2024,ZerO
2024,10,Best,BEST,South Korea,Protoss,83200,https://liquipedia.net/starcraft/Winnings/2024,Best
2025,1,Rush,RUSH,South Korea,Terran,144320,https://liquipedia.net/starcraft/Winnings/2025,Rush
2025,2,soma,SOMA,South Korea,Zerg,117245,https://liquipedia.net/starcraft/Winnings/2025,Soma
2025,3,RoyaL,ROYAL,South Korea,Terran,115110,https://liquipedia.net/starcraft/Winnings/2025,RoyaL
2025,4,Mini,MINI,South Korea,Protoss,112437,https://liquipedia.net/starcraft/Winnings/2025,Mini
2025,5,huro,HURO,South Korea,Protoss,107768,https://liquipedia.net/starcraft/Winnings/2025,Huro
2025,6,herO,HERO,South Korea,Zerg,106681,https://liquipedia.net/starcraft/Winnings/2025,Hero
2025,7,SnOw,SNOW,South Korea,Protoss,102545,https://liquipedia.net/starcraft/Winnings/2025,SnOw
2025,8,Queen,QUEEN,South Korea,Zerg,101199,https://liquipedia.net/starcraft/Winnings/2025,ZerO
2025,9,Stork,STORK,South Korea,Protoss,99474,https://liquipedia.net/starcraft/Winnings/2025,Stork
2025,10,BTS,BTS,South Korea,Zerg,98339,https://liquipedia.net/starcraft/Winnings/2025,BTS
2026,1,soma,SOMA,South Korea,Zerg,97079,https://liquipedia.net/starcraft/Winnings/2026,Soma
2026,2,RoyaL,ROYAL,South Korea,Terran,87272,https://liquipedia.net/starcraft/Winnings/2026,RoyaL
2026,3,Rush,RUSH,South Korea,Terran,80815,https://liquipedia.net/starcraft/Winnings/2026,Rush
2026,4,EffOrt,EFFORT,South Korea,Zerg,69295,https://liquipedia.net/starcraft/Winnings/2026,EffOrt
2026,5,Light,LIGHT,South Korea,Terran,67559,https://liquipedia.net/starcraft/Winnings/2026,Light
2026,6,Mini,MINI,South Korea,Protoss,66700,https://liquipedia.net/starcraft/Winnings/2026,Mini
2026,7,herO,HERO,South Korea,Zerg,62122,https://liquipedia.net/starcraft/Winnings/2026,Hero
2026,8,Stork,STORK,South Korea,Protoss,58715,https://liquipedia.net/starcraft/Winnings/2026,Stork
2026,9,Queen,QUEEN,South Korea,Zerg,57575,https://liquipedia.net/starcraft/Winnings/2026,ZerO
2026,10,Larva,LARVA,South Korea,Zerg,55636,https://liquipedia.net/starcraft/Winnings/2026,Larva (Player)
