year,file,title,sourceUrl
1970,1970.jpg,Estadio Azteca.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Estadio%20Azteca.jpg
1974,1974.jpg,2014 Olympiastadion Munich.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/2014%20Olympiastadion%20Munich.jpg
1978,1978.jpg,Estadio Monumental 1970s.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Estadio%20Monumental%201970s.jpg
1982,1982.jpg,Camp Nou aerial.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Camp%20Nou%20aerial.jpg
1986,1986.jpg,Estadio Azteca.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Estadio%20Azteca.jpg
1990,1990.jpg,Panoramica dello Stadio Olimpico (Roma).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Panoramica%20dello%20Stadio%20Olimpico%20%28Roma%29.jpg
1994,1994.jpg,"Rose Bowl Prior to BYU-UCLA Game, Pasadena, California (21588109405).jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Rose%20Bowl%20Prior%20to%20BYU-UCLA%20Game%2C%20Pasadena%2C%20California%20%2821588109405%29.jpg
1998,1998.jpg,"Le Stade de France vu des jardins de l'ecluse.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Le%20Stade%20de%20France%20vu%20des%20jardins%20de%20l%27%C3%A9cluse.jpg
2002,2002.jpg,NISSANSTADIUM20080608.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/NISSANSTADIUM20080608.JPG
2006,2006.jpg,Olympiastadion Berlin 2015.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Olympiastadion%20Berlin%202015.jpg
2010,2010.jpg,FIFA World Cup 2010 Final.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/FIFA%20World%20Cup%202010%20Final.jpg
2014,2014.jpg,The 2014 FIFA World Cup Final - 140713-8822-jikatu (14472538869).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/The%202014%20FIFA%20World%20Cup%20Final%20-%20140713-8822-jikatu%20%2814472538869%29.jpg
2018,2018.jpg,"Luzhniki Stadium, 2018 FIFA World Cup.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Luzhniki%20Stadium%2C%202018%20FIFA%20World%20Cup.jpg
2022,2022.jpg,2022 wc final 08.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/2022%20wc%20final%2008.jpg
2026,2026.jpg,MetLife Stadium Exterior.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/MetLife%20Stadium%20Exterior.jpg
